,path,label_str
0,drive/My Drive/Speech Emotion Recognition/data/CREMA/1049_IWL_SAD_XX.wav,sad
1,drive/My Drive/Speech Emotion Recognition/data/CREMA/1052_DFA_NEU_XX.wav,neutral
2,drive/My Drive/Speech Emotion Recognition/data/CREMA/1064_IEO_HAP_MD.wav,happy
3,drive/My Drive/Speech Emotion Recognition/data/CREMA/1062_IOM_ANG_XX.wav,angry
4,drive/My Drive/Speech Emotion Recognition/data/RAVDESS/03-01-02-02-02-02-07.wav,neutral
5,drive/My Drive/Speech Emotion Recognition/data/CREMA/1007_MTI_ANG_XX.wav,angry
6,drive/My Drive/Speech Emotion Recognition/data/CREMA/1032_TAI_ANG_XX.wav,angry
7,drive/My Drive/Speech Emotion Recognition/data/CREMA/1025_IEO_HAP_HI.wav,happy
8,drive/My Drive/Speech Emotion Recognition/data/CREMA/1045_IEO_NEU_XX.wav,neutral
9,drive/My Drive/Speech Emotion Recognition/data/CREMA/1015_WSI_HAP_XX.wav,happy
10,drive/My Drive/Speech Emotion Recognition/data/CREMA/1049_ITH_SAD_XX.wav,sad
11,drive/My Drive/Speech Emotion Recognition/data/CREMA/1027_TAI_HAP_XX.wav,happy
12,drive/My Drive/Speech Emotion Recognition/data/RAVDESS/03-01-05-02-02-01-07.wav,angry
13,drive/My Drive/Speech Emotion Recognition/data/CREMA/1035_TIE_SAD_XX.wav,sad
14,drive/My Drive/Speech Emotion Recognition/data/CREMA/1061_ITS_NEU_XX.wav,neutral
15,drive/My Drive/Speech Emotion Recognition/data/CREMA/1010_TIE_ANG_XX.wav,angry
16,drive/My Drive/Speech Emotion Recognition/data/CREMA/1044_IEO_SAD_MD.wav,sad
17,drive/My Drive/Speech Emotion Recognition/data/CREMA/1049_IEO_SAD_MD.wav,sad
18,drive/My Drive/Speech Emotion Recognition/data/CREMA/1067_TAI_ANG_XX.wav,angry
19,drive/My Drive/Speech Emotion Recognition/data/CREMA/1026_MTI_SAD_XX.wav,sad
20,drive/My Drive/Speech Emotion Recognition/data/CREMA/1061_IEO_SAD_MD.wav,sad
21,drive/My Drive/Speech Emotion Recognition/data/RAVDESS/03-01-05-02-01-01-03.wav,angry
22,drive/My Drive/Speech Emotion Recognition/data/CREMA/1052_IOM_SAD_XX.wav,sad
23,drive/My Drive/Speech Emotion Recognition/data/CREMA/1007_IEO_HAP_HI.wav,happy
24,drive/My Drive/Speech Emotion Recognition/data/CREMA/1005_TSI_NEU_XX.wav,neutral
25,drive/My Drive/Speech Emotion Recognition/data/CREMA/1062_ITH_NEU_XX.wav,neutral
26,drive/My Drive/Speech Emotion Recognition/data/CREMA/1052_TSI_ANG_XX.wav,angry
27,drive/My Drive/Speech Emotion Recognition/data/RAVDESS/03-01-03-01-01-01-20.wav,happy
28,drive/My Drive/Speech Emotion Recognition/data/CREMA/1065_TSI_ANG_XX.wav,angry
29,drive/My Drive/Speech Emotion Recognition/data/CREMA/1047_DFA_NEU_XX.wav,neutral
30,drive/My Drive/Speech Emotion Recognition/data/CREMA/1036_IEO_HAP_MD.wav,happy
31,drive/My Drive/Speech Emotion Recognition/data/CREMA/1002_IWW_NEU_XX.wav,neutral
32,drive/My Drive/Speech Emotion Recognition/data/CREMA/1032_IEO_HAP_MD.wav,happy
33,drive/My Drive/Speech Emotion Recognition/data/CREMA/1020_TIE_SAD_XX.wav,sad
34,drive/My Drive/Speech Emotion Recognition/data/CREMA/1012_IOM_ANG_XX.wav,angry
35,drive/My Drive/Speech Emotion Recognition/data/RAVDESS/03-01-01-01-01-01-23.wav,neutral
36,drive/My Drive/Speech Emotion Recognition/data/RAVDESS/03-01-01-01-01-01-12.wav,neutral
37,drive/My Drive/Speech Emotion Recognition/data/RAVDESS/03-01-02-02-01-01-14.wav,neutral
38,drive/My Drive/Speech Emotion Recognition/data/CREMA/1009_ITS_NEU_XX.wav,neutral
39,drive/My Drive/Speech Emotion Recognition/data/CREMA/1015_IWW_ANG_XX.wav,angry
40,drive/My Drive/Speech Emotion Recognition/data/CREMA/1047_IEO_ANG_MD.wav,angry
41,drive/My Drive/Speech Emotion Recognition/data/CREMA/1015_MTI_SAD_XX.wav,sad
42,drive/My Drive/Speech Emotion Recognition/data/CREMA/1006_TAI_SAD_XX.wav,sad
43,drive/My Drive/Speech Emotion Recognition/data/CREMA/1020_TAI_NEU_XX.wav,neutral
44,drive/My Drive/Speech Emotion Recognition/data/CREMA/1050_MTI_NEU_XX.wav,neutral
45,drive/My Drive/Speech Emotion Recognition/data/CREMA/1005_ITS_SAD_XX.wav,sad
46,drive/My Drive/Speech Emotion Recognition/data/CREMA/1066_IWW_NEU_XX.wav,neutral
47,drive/My Drive/Speech Emotion Recognition/data/CREMA/1039_IEO_HAP_LO.wav,happy
48,drive/My Drive/Speech Emotion Recognition/data/RAVDESS/03-01-01-01-01-02-08.wav,neutral
49,drive/My Drive/Speech Emotion Recognition/data/CREMA/1048_IWL_HAP_XX.wav,happy
50,drive/My Drive/Speech Emotion Recognition/data/CREMA/1031_IWW_HAP_XX.wav,happy
51,drive/My Drive/Speech Emotion Recognition/data/RAVDESS/03-01-04-02-01-01-11.wav,sad
52,drive/My Drive/Speech Emotion Recognition/data/CREMA/1001_ITH_ANG_XX.wav,angry
